State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Visakhapatnam,2021-03-21,2021,3,0.517466815,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-03-23,2021,3,0.004413488,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-04-13,2021,4,4.098639809,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-04-21,2021,4,0.716364664,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-05-11,2021,5,1.401040376,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-05-15,2021,5,8.886558369,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-05-18,2021,5,0.115682118,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-05-30,2021,5,4.550515294,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-06-05,2021,6,1.240111209,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-06-09,2021,6,3.818540237,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-06-11,2021,6,1.428647282,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-06-22,2021,6,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-06-29,2021,6,0.002212429,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-07-02,2021,7,0.398562581,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-07-14,2021,7,7.34740931,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-02,2021,8,0.068164576,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-04,2021,8,0.235997401,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-05,2021,8,0.224182261,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-06,2021,8,1.051872825,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-15,2021,8,21.76584153,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-16,2021,8,22.38410949,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-22,2021,8,4.710434454,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-08-31,2021,8,11.91990079,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-09-01,2021,9,10.22109424,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-09-05,2021,9,10.39146051,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-09-08,2021,9,17.8605685,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-09-11,2021,9,12.88936137,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-09-24,2021,9,6.929004395,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-09-27,2021,9,130.1252858,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-10-04,2021,10,0.113901351,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-10-13,2021,10,0.601504447,IMD GRID MODEL
Andhra Pradesh,Visakhapatnam,2021-10-25,2021,10,0.002246535,IMD GRID MODEL
